Source,Target,Cost,Url
MUC,LBC,811,https://www.kayak.pl/flights/MUC-LBC/2023-04-04?sort=bestflight_a
MUC,LEJ,788,https://www.kayak.pl/flights/MUC-LEJ/2023-04-04?sort=bestflight_a
MUC,FMO,540,https://www.kayak.pl/flights/MUC-FMO/2023-04-04?sort=bestflight_a
MUC,PAD,620,https://www.kayak.pl/flights/MUC-PAD/2023-04-04?sort=bestflight_a
MUC,STR,790,https://www.kayak.pl/flights/MUC-STR/2023-04-04?sort=bestflight_a
MUC,GWT,853,https://www.kayak.pl/flights/MUC-GWT/2023-04-04?sort=bestflight_a
FMO,FRA,593,https://www.kayak.pl/flights/FMO-FRA/2023-04-04?sort=bestflight_a
FMO,MUC,536,https://www.kayak.pl/flights/FMO-MUC/2023-04-04?sort=bestflight_a
NUE,BER,658,https://www.kayak.pl/flights/NUE-BER/2023-04-04?sort=bestflight_a
NUE,FRA,539,https://www.kayak.pl/flights/NUE-FRA/2023-04-04?sort=bestflight_a
PAD,MUC,615,https://www.kayak.pl/flights/PAD-MUC/2023-04-04?sort=bestflight_a
SCN,HAM,1181,https://www.kayak.pl/flights/SCN-HAM/2023-04-04?sort=bestflight_a
STR,BER,282,https://www.kayak.pl/flights/STR-BER/2023-04-04?sort=bestflight_a
STR,BRE,545,https://www.kayak.pl/flights/STR-BRE/2023-04-04?sort=bestflight_a
STR,CGN,776,https://www.kayak.pl/flights/STR-CGN/2023-04-04?sort=bestflight_a
STR,FRA,715,https://www.kayak.pl/flights/STR-FRA/2023-04-04?sort=bestflight_a
STR,HAM,556,https://www.kayak.pl/flights/STR-HAM/2023-04-04?sort=bestflight_a
STR,LBC,1081,https://www.kayak.pl/flights/STR-LBC/2023-04-04?sort=bestflight_a
STR,MUC,606,https://www.kayak.pl/flights/STR-MUC/2023-04-04?sort=bestflight_a
STR,GWT,373,https://www.kayak.pl/flights/STR-GWT/2023-04-04?sort=bestflight_a
GWT,DTM,797,https://www.kayak.pl/flights/GWT-DTM/2023-04-04?sort=bestflight_a
GWT,DUS,380,https://www.kayak.pl/flights/GWT-DUS/2023-04-04?sort=bestflight_a
GWT,FRA,615,https://www.kayak.pl/flights/GWT-FRA/2023-04-04?sort=bestflight_a
GWT,HAM,520,https://www.kayak.pl/flights/GWT-HAM/2023-04-04?sort=bestflight_a
GWT,MHG,1527,https://www.kayak.pl/flights/GWT-MHG/2023-04-04?sort=bestflight_a
GWT,MUC,464,https://www.kayak.pl/flights/GWT-MUC/2023-04-04?sort=bestflight_a
GWT,STR,386,https://www.kayak.pl/flights/GWT-STR/2023-04-04?sort=bestflight_a
